,brand,model,operation_mode,feed_opening_shape,body_material,liner_material,applicable_number,power,cooking_function,function,capacity,speed_adjustment,type,cup_material,speed,status
498,hanwei/韩伟,M-280,,,,,4-5人,1400W-1600W,,"碎冰,搅拌,榨汁,干磨",2L容量,手动调速,,食品级材料,25000-29999转/分钟,0
499,hap/韩派,M600,,,,,5人以上,1400W-1600W,,"碎冰,碎肉,榨汁",1.75L容量,手动调速,,食品级材料,25000-29999转/分钟,0
500,kingpro,J-1205,,,,,4-5人,1400W-1600W,,"搅拌,碎肉,碎冰,榨汁,干磨,浓汤",2L容量,手动调速,,食品级材料,15000-19999转/分钟,0
501,honguo/红果,HG-PB-130,,,,,4-5人,1400W-1600W,,"碎冰,搅拌,制奶昔,榨汁,混合",1.8L容量,手动调速,,不锈钢,45000-49999转/分钟,0
502,jinxiong/金熊,JX5398,,,,,5人以上,1800-2000W,,"搅拌,蒸煮,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,不锈钢,45000-49999转/分钟,0
503,lecon/乐创,LC-L01,,,,,4-5人,1400W-1600W,,"碎冰,搅拌,榨汁,打蛋,制奶昔",,手动调速,,食品级PP材料,45000-49999转/分钟,0
504,aux/奥克斯,HX-401D,,,,,1-4人,200-400W,,"搅拌,制奶昔,切丝/切片,碎肉,切菜,混合,绞肉,干磨",1.5L容量,手动调速,,Tritan材料,20000-24999转/分钟,0
505,oster/奥士达,BLSTIM-WGR-073,,,,,1-3人,200-400W,,"搅拌,制奶昔,混合,打蛋,碎冰,榨汁",0.6L容量,手动调速,,Tritan材料,20000-24999转/分钟,0
506,donlim/东菱,DL-BX300,,,塑料,,1-3人,200-400W,,榨汁,0.6L容量,手动调速,,Tritan材料,20000-24999转/分钟,0
507,joyoung/九阳,JYL-H2,,,,,1-3人,200-400W,,"碎冰,搅拌,制奶昔,榨汁",1.1L容量,手动调速,,内钢外塑,15000-19999转/分钟,0
508,youo/优尔,Y-958-2,,,,,1-3人,200-400W,,"搅拌,制奶昔,碎肉,切菜,打蛋,绞肉,碎冰,榨汁,干磨",0.6L容量,手动调速,,,10000-14999转/分钟,0
509,longde/龙的,LD-GZ25D,,,,,4-5人,200-400W,,搅拌,0.6L容量,手动调速,,Tritan材料,10000-14999转/分钟,0
510,宙斯,ZS-520A,,,,,4-5人,200-400W,,"混合,搅拌,制奶昔,榨汁,加热",1.7L容量,手动调速,,玻璃,15000-19999转/分钟,0
511,stelang/雪特朗,ST-702A,,,,,5人以上,200-400W,,"搅拌,制奶昔,切菜,混合,绞肉,榨汁,干磨",1.5L容量,手动调速,,玻璃,20000-24999转/分钟,0
512,好妈咪,SS260-D,,,,,1-3人,200-400W,,"搅拌,制奶昔,干磨,榨汁,绞肉",0.75L容量,手动调速,,塑料,20000-24999转/分钟,0
513,royalstar/荣事达,RZ-348Q,,,,,1-3人,200-400W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",,手动调速,,塑料,10000-14999转/分钟,0
514,ouke/欧科,OK6021,,,,,1-3人,200-400W,,"打蛋,制奶昔,和面,搅拌,碎肉,切丝,切菜,混合,切片,绞肉,碎冰",1L容量,手动调速,,塑料,0-4999转/分钟,0
515,homeleader,K39-020,,,,,4-5人,200-400W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,干磨",0.5L,手动调速,,塑料,15000-19999转/分钟,0
516,家家户户,JJHH318B,,,,,5人以上,200-400W,,"碎肉,搅拌,切菜,碎冰,榨汁,干磨",,手动调速,,塑料,30000-34999转/分钟,0
517,joyoung/九阳,JYL-F20,,,,,1-3人,200-400W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,碎冰,榨汁,干磨",1.2L容量,手动调速,,塑料,20000-24999转/分钟,0
518,joyoung/九阳,JYL-C020,,,,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,混合,碎冰,榨汁,干磨",1.2L容量,手动调速,,塑料,20000-24999转/分钟,0
519,大全,DQ-250,,圆形,塑料,,2-3人,200-400W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",,手动调速,,塑料,20000-24999转/分钟,0
520,midea/美的,WBL25B36,,圆形,塑料,,2-5人,200-400W,,"搅拌,碎肉,制奶昔,绞肉,碎冰,榨汁,干磨",1.25L容量,手动调速,,食品级PC材料,15000-19999转/分钟,0
521,西贝乐,XBLL-23C,,,,,2-5人,200-400W,,"搅拌,制奶昔,干磨,混合",0.4L,手动调速,,食品级PC材料,25000-29999转/分钟,0
522,tonze/天际,DZJ-408,,,,,1-3人,200-400W,,"搅拌,碎肉,制奶昔,混合,碎冰,榨汁,干磨",1.25L容量,手动调速,,食品级PC材料,25000-29999转/分钟,0
523,fore/福尔,FE316A8,,,,,4-5人,200-400W,,"碎冰,碎肉,切菜,干磨,榨汁",0.55L,手动调速,,食品级PC材料,30000-34999转/分钟,0
524,joyoung/九阳,JYL-C010,,,,,2-4人,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",,手动调速,,食品级PC材料,20000-24999转/分钟,0
525,joyoung/九阳,JYL-C63V,,,,,2-4人,200-400W,,"搅拌,切丝/切片,制奶昔,绞肉,辅食,豆浆,干磨",1.3L容量,手动调速,,食品级PC材料,20000-24999转/分钟,0
526,royalstar/荣事达,RZ-718C,,,,,2-3人,200-400W,,"搅拌,制奶昔,干磨,榨汁",,手动调速,,食品级材料,20000-24999转/分钟,0
527,greenis/格丽思,F-8006,,,,,4-5人,200-400W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",,手动调速,,食品级材料,15000-19999转/分钟,0
528,kitchenaid/凯膳怡,5KPM5,,,,,5人以上,200-400W,,"打蛋,搅拌,和面",4.8L容量,手动调速,,不锈钢,0-4999转/分钟,0
529,德诺,DN-601,,圆形,不锈钢,,,,,"打蛋,榨汁",0.7L容量,,,食品级AS材料,,0
530,mingjian/名健,QF-905B,,,,,1-3人,200-400W,,"搅拌,切丝/切片,碎肉,切菜,打蛋,绞肉,榨汁,干磨",1.5L容量,手动调速,,食品级AS材料,15000-19999转/分钟,0
531,ouke/欧科,OKHB-1098A1,,,,,1-3人,200-400W,,"打蛋,搅拌,碎冰,榨汁,混合",0.7L容量,手动调速,,食品级AS材料,10000-14999转/分钟,0
532,vitaland/威的,VL-3000A,,,,,4-5人,200-400W,,"碎冰,搅拌,榨汁,干磨,碎肉",,手动调速,,食品级PP材料,20000-24999转/分钟,0
533,创顺,301C,,,,,4-5人,200-400W,,"搅拌,豆浆,研磨,绞肉",,手动调速,,食品级PP材料,15000-19999转/分钟,0
534,luby/洛贝,LBJ-635B,,,,,1-3人,200-400W,,"搅拌,榨汁,干磨",1L容量,手动调速,,塑料,20000-24999转/分钟,0
535,sande/三的,SD-LL12,,,不锈钢,,2-3人,200-400W,,"搅拌,榨汁,碎肉",,手动调速,,Tritan材料,20000-24999转/分钟,0
536,nintaus/金正,JZPB-818A,,,,,5人以上,2200-2400W,,"搅拌,制奶昔,米糊,辅食,豆浆,沙冰,榨汁,干磨,浓汤",1.75L容量,手动调速,,玻璃,45000-49999转/分钟,0
537,nintaus/金正,D30,,,,,5人以上,2200-2400W,,"碎肉,搅拌,制奶昔,果酱,研磨,沙冰,榨汁,浓汤",,手动调速,,不锈钢,45000-49999转/分钟,0
538,欧碧源,OBY-F30DX-D01,,,,,1-3人,400-600W,,"搅拌,切丝/切片,碎肉,制奶昔,混合,绞肉,果泥",0.3L,手动调速,,Tritan材料,30000-34999转/分钟,0
539,爱煮,NB600B,,,,,4-5人,400-600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",0.95L容量,手动调速,,Tritan材料,20000-24999转/分钟,0
540,midea/美的,MJ-BL45J11,,,,,4-5人,400-600W,,"切丝,制奶昔,切片,绞肉,研磨,沙冰,榨汁",1.5L容量,手动调速,,玻璃,20000-24999转/分钟,0
541,hyundai/现代,HYZZ-3116,,,,,4-5人,400-600W,,"碎冰,搅拌,制奶昔,榨汁,混合",1.75L容量,手动调速,,玻璃,45000-49999转/分钟,0
542,joyhands/技航,JY-P801,,,,,4-5人,400-600W,,"搅拌,制奶昔,混合,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,45000-49999转/分钟,0
543,joyoung/九阳,JYL-G12E,,圆形,玻璃,,4-5人,400-600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,干磨",1.5L容量,手动调速,,玻璃,25000-29999转/分钟,0
544,hyundai/现代,LL2427,,,,,5人以上,400-600W,,"搅拌,和面,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,20000-24999转/分钟,0
545,midea/美的,MJ-WBL4531J,,圆形,金属,,5人以上,400-600W,,"碎冰,干磨,绞肉,切丝/切片,搅拌",1.5L容量,手动调速,,玻璃,15000-19999转/分钟,0
546,狮威特,HB220-03M,,,,,1-3人,400-600W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁",0.65L容量,手动调速,,塑料,20000-24999转/分钟,0
547,rota/润唐,RBK1,,,,,1-3人,400-600W,,"绞肉,搅拌,榨汁,碎肉",0.25L,手动调速,,塑料,0-4999转/分钟,0
548,braun/博朗,MR740CC,,,,,5人以上,400-600W,,"碎冰,榨汁,混合",1L容量,手动调速,,塑料,15000-19999转/分钟,0
549,rota/润唐,RMK2,,,,,1-3人,400-600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",0.3L,手动调速,,塑料,0-4999转/分钟,0
550,severin,SM3798,,,,,1-3人,400-600W,,"搅拌,切菜,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,切丝/切片",,手动调速,,食品级材料,10000-14999转/分钟,0
551,hanil,HMF-3500TG,,,,,4-5人,400-600W,,"碎冰,碎肉,切菜,干磨,榨汁",,手动调速,,不锈钢,15000-19999转/分钟,0
552,philips/飞利浦,HR2171/90,,,,,1-3人,400-600W,,混合,1.5L容量,手动调速,,不锈钢,其他,0
553,philips/飞利浦,HR2168,,,,,4-5人,400-600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,碎冰,榨汁,干磨",2L容量,手动调速,,SAN,其他,0
554,couss/卡士,CM-5501,,,,,4-5人,400-600W,,"搅拌,和面,打蛋,碎冰,切丝/切片,榨汁,干磨",3.8L容量,手动调速,,不锈钢,0-4999转/分钟,0
555,joyoung/九阳,JYL-Y96,,,,,2-5人,1000-1200W,,"碎冰,碎肉,豆浆,混合",2L容量,手动调速,,Tritan材料,30000-34999转/分钟,0
556,breville/铂富,BBL405,,,,,4-5人,1000-1200W,,"碎冰,搅拌,碎肉",1.5L容量,手动调速,,Tritan材料,20000-24999转/分钟,0
557,vitamix/维他美仕,010265,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,切丝/切片,碎肉,切菜,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,Tritan材料,35000-39999转/分钟,0
558,joyoung/九阳,JYL-Y5,,,,,4-5人,1000-1200W,,"酱料,绞肉,豆浆,碎冰,沙冰,榨汁,浓汤",1.75L容量,手动调速,,Tritan材料,30000-34999转/分钟,0
559,l-sun /小太阳,TM-768Ⅲ,,,,,4-5人,1000-1200W,,"搅拌,碎肉,混合,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,Tritan材料,25000-29999转/分钟,0
560,vitamix/维他美仕,010219,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,切丝/切片,碎肉,切菜,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,,其他,0
561,joyoung/九阳,JYL-Y11,,,,,5人以上,1000-1200W,,"搅拌,酱料,绞肉,豆浆,碎冰,沙冰,榨汁,干磨",1.75L容量,手动调速,,Tritan材料,30000-34999转/分钟,0
562,joyoung/九阳,JYL-Y92,,,,,2-5人,1000-1200W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,35000-39999转/分钟,0
563,joyoung/九阳,JYZ-Y20,,,,,2-5人,1000-1200W,,"酱料,煮粥,米糊,豆浆,榨汁,浓汤",1.75L容量,手动调速,,玻璃,40000-44999转/分钟,0
564,skg,PBQ2,,,,,3-5人,1000-1200W,,"搅拌,碎肉,制奶昔,打蛋,绞肉,豆浆,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,35000-39999转/分钟,0
565,kuto/快特电器,KYH-102J,,,,,1-3人,1000-1200W,,"搅拌,碎肉,制奶昔,打蛋,绞肉,豆浆,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,25000-29999转/分钟,0
566,westinghouse/西屋,HS0950,,,,,4-5人,1000-1200W,,"绞肉,搅拌,碎肉,米糊,豆浆,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,45000-49999转/分钟,0
567,anmir/安蜜尔,AMR980,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,混合,绞肉,豆浆,碎冰,榨汁,干磨",1.5L容量,手动调速,,玻璃,45000-49999转/分钟,0
568,lazybear/懒熊,LB-P928,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,切丝/切片,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,玻璃,45000-49999转/分钟,0
569,bestday/贝尔斯顿,G01L,,,,,4-5人,1000-1200W,,"搅拌,碎肉,绞肉,辅食,碎冰,榨汁,干磨,浓汤",1.75L容量,手动调速,,玻璃,45000-49999转/分钟,0
570,韩皇,CB-608,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",2L容量,手动调速,,玻璃,35000-39999转/分钟,0
571,joyoung/九阳,JYL-Y921,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,混合,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,35000-39999转/分钟,0
572,圈圈爱,M730,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,豆浆,碎冰,榨汁,干磨",2L容量,手动调速,,玻璃,35000-39999转/分钟,0
573,多丽,SM-08B,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",,手动调速,,玻璃,35000-39999转/分钟,0
574,joyoung/九阳,JYL-Y99,,,,,4-5人,1000-1200W,,"搅拌,碎肉,绞肉,豆浆,碎冰,干磨",1.75L容量,手动调速,,玻璃,35000-39999转/分钟,0
575,skg,PBQ1,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,35000-39999转/分钟,0
576,狮威特,JE220-22M00A,,月牙形,塑料,,,100-200W,,"搅拌,制奶昔,碎肉,切菜,碎冰,榨汁,干磨",,,,PCTG,0-4999转/分钟,0
577,格明,GM-K06,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
578,midea/美的,MJ-BL12K31,,,,,4-5人,1000-1200W,,"搅拌,米糊,制奶昔,绞肉,榨汁,浓汤",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
579,midea/美的,MJ-BL1206A,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,榨汁,豆浆,沙冰",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
580,joyoung/九阳,JYL-Y915,,,,,4-5人,1000-1200W,,"搅拌,研磨,酱料,豆浆,沙冰,榨汁,浓汤",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
581,joyoung/九阳,JYL-Y15,,,,,4-5人,1000-1200W,,"碎冰,搅拌,榨汁",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
582,supor/苏泊尔,JP23D-1100,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,米糊,豆浆,沙冰,榨汁,干磨",,手动调速,,玻璃,30000-34999转/分钟,0
583,haier/海尔,HPB-HC1751,,,,,4-5人,1000-1200W,,"碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
584,nintaus/金正,JZPB-100D02,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,25000-29999转/分钟,0
585,bestday/贝尔斯顿,PBJ-G02E,,,,,4-5人,1000-1200W,,"碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,25000-29999转/分钟,0
586,bestday/贝尔斯顿,PBJ-G02B,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,25000-29999转/分钟,0
587,joyoung/九阳,JYL-Y16,,,,,4-5人,1000-1200W,,"搅拌,榨汁,碎肉",1.75L容量,手动调速,,玻璃,40000-44999转/分钟,0
588,sansui/山水,K10,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,5000-9999转/分钟,0
589,hyundai/现代,LL2429,,,,,5人以上,1000-1200W,,"搅拌,碎肉,制奶昔,混合,打蛋,碎冰,榨汁,干磨",,手动调速,,玻璃,20000-24999转/分钟,0
590,joyoung/九阳,JYL-Y910,,,,,5人以上,1000-1200W,,"搅拌,碎肉,制奶昔,混合,碎冰,榨汁",1.75L容量,手动调速,,玻璃,35000-39999转/分钟,0
591,joyoung/九阳,JYL-Y917,,,,,5人以上,1000-1200W,,"搅拌,碎肉,制奶昔,豆浆,碎冰,榨汁",1.75L容量,手动调速,,玻璃,35000-39999转/分钟,0
592,nintaus/金正,JZPB-120D01,,,,,5人以上,1000-1200W,,"碎肉,和面,制奶昔,打蛋,绞肉,碎冰,切丝/切片,榨汁",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
593,joyoung/九阳,JYL-Y912,,,,,5人以上,1000-1200W,,"豆浆,制奶昔,米糊,研磨,沙冰,榨汁,浓汤",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
594,ouke/欧科,OKL-1710,,,,,5人以上,1000-1200W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,20000-24999转/分钟,0
595,whirlpool/惠而浦,WBL-CS118X,,,,,4-5人,1000-1200W,,"搅拌,绞肉,制奶昔,煮汤,米糊,米粉,研磨,沙冰,榨汁,破壁",1.75L容量,手动调速,,塑料,25000-29999转/分钟,0
596,yen sun/元山,YS-210MX,,,,,4-5人,1000-1200W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,食品级PC材料,30000-34999转/分钟,0
597,skg,2084,,,,,4-5人,1000-1200W,,"加热,搅拌,碎肉,制奶昔,混合,碎冰,榨汁,干磨",1.5L容量,手动调速,,食品级PC材料,25000-29999转/分钟,0
598,l-sun /小太阳,TM-302,,,,,4-5人,1000-1200W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,食品级PC材料,25000-29999转/分钟,0
599,skg,2091,,,,,4-5人,1000-1200W,,"加热,搅拌,碎肉,制奶昔,混合,碎冰,榨汁,干磨",1.5L容量,手动调速,,食品级PC材料,25000-29999转/分钟,0
600,l-sun /小太阳,TM-767-II,,,,,4-5人,1000-1200W,,"搅拌,碎肉,混合,碎冰,榨汁,干磨",2L容量,手动调速,,食品级PC材料,25000-29999转/分钟,0
601,格明,GM-K02,,,,,5人以上,1000-1200W,,"碎冰,搅拌",2L容量,手动调速,,食品级PC材料,30000-34999转/分钟,0
602,l-sun /小太阳,TM-303,,,,,4-5人,1000-1200W,,"搅拌,和面,碎肉,制奶昔,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,食品级材料,30000-34999转/分钟,0
603,格明,GM-K03,,,,,4-5人,1000-1200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",2L容量,手动调速,,食品级材料,40000-44999转/分钟,0
604,petrus/柏翠,PE4000,,,,,5人以上,1000-1200W,,"打蛋,碎肉,榨汁,和面",5.5L容量,手动调速,,钛合金,15000-19999转/分钟,0
605,russell hobbs/领豪,21480-56C,,,,,4-5人,1000-1200W,,"搅拌,碎肉,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,不锈钢,20000-24999转/分钟,0
606,morphyrichards/摩飞电器,BL-P149,,,,,1-3人,1400-1600W,,"绞肉,搅拌,制奶昔,榨汁,碎肉",2L容量,手动调速,,塑料,45000-49999转/分钟,0
607,lienruib/力恩瑞博,LN-0701,,,,,5人以上,1400-1600W,,"搅拌,和面,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,食品级PC材料,35000-39999转/分钟,0
608,aca/北美电器,AF-B200,,,,,1-3人,100-200W,,"搅拌,切菜,制奶昔,混合,碎冰,榨汁",,手动调速,,Tritan材料,20000-24999转/分钟,0
609,deerma/德尔玛,BL-6451-PN,,,,,1-3人,100-200W,,"碎冰,搅拌,混合",0.45L,手动调速,,,15000-19999转/分钟,0
610,aca/北美电器,AF-B200R,,,,,4-5人,100-200W,,"碎冰,搅拌,切菜,榨汁,制奶昔",0.6L容量,手动调速,,Tritan材料,20000-24999转/分钟,0
611,sande/三的,SD-JR03,,,,,1-3人,100-200W,,"绞肉,碎肉,混合",1.2L容量,手动调速,,玻璃,5000-9999转/分钟,0
612,sande/三的,SD-JR02-L,,,,,4-5人,100-200W,,"绞肉,搅拌,切菜,碎肉",1.2L容量,手动调速,,玻璃,15000-19999转/分钟,0
613,edei/宜阁,MC101G1,,,,,4-5人,100-200W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰",,手动调速,,玻璃,0-4999转/分钟,0
614,小浣熊,JY-900A,,,,,5人以上,100-200W,,"果蔬,豆类,肉类,辅食",,手动调速,,玻璃,15000-19999转/分钟,0
615,deerma/德尔玛,BL-B11,,,,,1-3人,100-200W,,"搅拌,制奶昔,干磨",,手动调速,,塑料,20000-24999转/分钟,0
616,cefrun/赛普瑞斯,LK-100R,,,,,4-5人,100-200W,,"搅拌,碎肉,制奶昔,混合,打蛋,碎冰,榨汁,干磨",,手动调速,,食品级PC材料,20000-24999转/分钟,0
617,braun/博朗,MR300,,,,,1-3人,400-600W,,"搅拌,制奶昔",,2档,,塑料,,0
618,joyoung/九阳,JYL-A100,,圆形,塑料,,2-3人,100-200W,,"碎冰,制奶昔,榨汁",0.6L容量,手动调速,,食品级PC材料,20000-24999转/分钟,0
619,tokebi/多可必,V9000,,,,,2-3人,100-200W,,"搅拌,碎肉,制奶昔,打蛋,绞肉,碎冰,榨汁",,手动调速,,食品级PC材料,20000-24999转/分钟,0
620,royalstar/荣事达,RZ-208B,,圆形,塑料,,1-3人,100-200W,,"搅拌,榨汁,干磨",0.6L容量,手动调速,,食品级PP材料,15000-19999转/分钟,0
621,muji/无印良品,MJ-JM1ACN,,,,,4-5人,100-200W,,"搅拌,榨汁,碎肉",,手动调速,,食品级AS材料,15000-19999转/分钟,0
622,german pool/德国宝,PRO-10,,,,,4-5人,1200-1400W,,"搅拌,制奶昔,混合,碎冰,榨汁,干磨",2L容量,手动调速,,Tritan材料,35000-39999转/分钟,0
623,oster/奥士达,BLSTVB-R-073,,,,,4-5人,1200-1400W,,"搅拌,制奶昔,打蛋,碎冰,榨汁,干磨",2L容量,手动调速,,Tritan材料,25000-29999转/分钟,0
624,greenis/格丽思,G-8800,,,,,4-5人,1200-1400W,,"搅拌,和面,碎肉,制奶昔,混合,绞肉,辅食,碎冰,榨汁,干磨",2L容量,手动调速,,Tritan材料,50000-54999转/分钟,0
625,蒙达,M-100,,,,,5人以上,1200-1400W,,"搅拌,榨汁",2L容量,手动调速,,Tritan材料,35000-39999转/分钟,0
626,nintaus/金正,JZPB-926,,,,,1-3人,1200-1400W,,"碎冰,搅拌,制奶昔,榨汁,混合",1.75L容量,手动调速,,玻璃,35000-39999转/分钟,0
627,nintaus/金正,JZPB-923,,,,,1-3人,1200-1400W,,"碎冰,搅拌,制奶昔,榨汁",,手动调速,,玻璃,35000-39999转/分钟,0
628,君牌,JZPB-927,,,,,1-3人,1200-1400W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
629,luby/洛贝,LBL-GH03,,,,,4-5人,1200-1400W,,"碎冰,搅拌,制奶昔,榨汁,混合",1.75L容量,手动调速,,玻璃,20000-24999转/分钟,0
630,donlim/东菱,DL-PL025,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2.5L容量,手动调速,,玻璃,35000-39999转/分钟,0
631,supor/苏泊尔,JP10DA-1300,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
632,royalstar/荣事达,RZ-1308A,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,手动调速,,玻璃,30000-34999转/分钟,0
633,royalstar/荣事达,RZ-2100B,,,,,4-5人,1200-1400W,,搅拌,,手动调速,,玻璃,25000-29999转/分钟,0
634,geligao/格立高,GLG-928,,,,,5人以上,1200-1400W,,"搅拌,制奶昔,绞肉,碎冰,榨汁,干磨",1.7L容量,手动调速,,玻璃,45000-49999转/分钟,0
635,l-sun /小太阳,TM-813T,,,,,5人以上,1200-1400W,,"搅拌,和面,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,玻璃,35000-39999转/分钟,0
636,kitchenaid/凯膳怡,5KSB5080BCA,,,,,5人以上,1200-1400W,,"沙冰,辅食,制奶昔,和面,榨汁",1.75L容量,手动调速,,塑料,20000-24999转/分钟,0
637,海盘,TM-608T,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,食品级PC材料,35000-39999转/分钟,0
638,l-sun /小太阳,BL-009B,,,,,4-5人,1200-1400W,,"碎冰,搅拌,榨汁,干磨",,手动调速,,食品级PC材料,30000-34999转/分钟,0
639,海盘,TM-060T,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2.5L容量,手动调速,,食品级PC材料,30000-34999转/分钟,0
640,l-sun /小太阳,TM-3S,,,,,4-5人,1200-1400W,,"搅拌,制奶昔,碎肉,切菜,碾磨,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,食品级材料,35000-39999转/分钟,0
641,l-sun /小太阳,TM-788,,,,,4-5人,1200-1400W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,手动调速,,食品级材料,30000-34999转/分钟,0
642,gaobo/高博,SM-505,,,,,5人以上,1200-1400W,,"搅拌,制奶昔,混合,打蛋,碎冰,榨汁",1.7L容量,手动调速,,不锈钢,45000-49999转/分钟,0
643,sero/瑟诺,SJ-C39A,,,,,4-5人,1200-1400W,,"搅拌,冰沙,豆浆",,手动调速,,食品级PC材料,30000-34999转/分钟,0
