,brand,model,sku
147,joyoung/九阳, JYL-C051料理机,"{'产品功能': '榨汁 碎冰 搅拌 制奶昔', '适用人数': '1-3人', '颜色分类': '白色 绿色 橙色'}"
148,meichen/美星晨,MXC-02,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': '红色'}"
149,joyoung/九阳, JYL-C16D,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '1-3人', '颜色分类': 'C16D(1个杯坐） C16V(3个杯坐） C06T(1个杯坐）'}"
150,joyoung/九阳, JYL-C16V,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': 'C16V(3个杯）官方正品 C16D(一个杯) C051(一个杯) C012(3杯3刀）'}"
151,joyoung/九阳, JYL-C19V,"{'产品功能': '榨汁 碎冰 干磨 搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '红色'}"
152,joyoung/九阳, JYL-C50T,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': 'C50T标配 C50T+2个备用刀片 C50T+2个备用刀片+陶瓷刀具2件套 C50T+2个备用刀片+厨房15件套 C50T+2刀片+陶瓷2件+厨房15件套'}"
153,joyoung/九阳, JYL-C50T料理机,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': 'HR1608'}"
154,joyoung/九阳, JYL-C902D,"{'产品功能': '榨汁 制奶昔', '适用人数': '1-3人', '颜色分类': '红色'}"
155,joyoung/九阳, JYL-C91T料理机,"{'产品功能': '碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
156,joyoung/九阳, JYL-D020,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0制奶昔\xa0混合\xa0绞肉\xa0切丝 切片', '适用人数': '1-3人', '颜色分类': '白色'}"
157,joyoung/九阳, JYL-D022,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉\xa0切丝 切片', '适用人数': '4-5人', '颜色分类': '白色'}"
158,midea/美的, BL25B31,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': 'BL25B31【普通快递】169 BL25B31【顺丰速运】179'}"
159,joyoung/九阳, JYL-F901,"{'产品功能': '榨汁 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': 'JYL-F810 JYL-F901'}"
160,joyoung/九阳, JYL-G12,"{'产品功能': '绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
161,midea/美的, BL25B36,"{'产品功能': '干磨\xa0搅拌', '适用人数': '3-4人', '颜色分类': '美的正品 假一赔十 全国联保'}"
162,midea/美的, MJ-BL10K21,"{'产品功能': '碎冰 搅拌 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
163,joyoung/九阳, JYL-G12E,"{'产品功能': '绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
164,joyoung/九阳, JYL-Y11,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌', '适用人数': '5人及以上', '颜色分类': '红色'}"
165,joyoung/九阳, JYL-Y12H,"{'产品功能': '豆浆\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
166,joyoung/九阳, JYL-Y29,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '5人及以上', '颜色分类': 'JYL-Y29+联保维修发票 研磨杯'}"
167,joyoung/九阳, JYL-Y15,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': 'JYL-Y15【原装带条码】 JYL-Y15【原装带条码】+干磨杯'}"
168,joyoung/九阳, JYL-Y16,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '专柜正品Y16双杯加热 专柜正品Y15单杯加热 Y16+干磨杯 Y15+干磨杯'}"
169,joyoung/九阳, JYL-Y20,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 制奶昔 混合', '适用人数': '5人及以上', '颜色分类': '搅拌机'}"
170,joyoung/九阳, JYL-Y3,"{'产品功能': '酱汁、冰沙、浓汤、坚果、豆浆\xa0榨汁\xa0干磨\xa0搅拌\xa0制奶昔\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '红色'}"
171,joyoung/九阳, JYL-Y60,"{'产品功能': '榨汁 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '白色'}"
172,joyoung/九阳, JYL-Y8 PLUS,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌', '适用人数': '4-5人', '颜色分类': '咖啡色'}"
173,joyoung/九阳, JYL-Y910,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '5人及以上', '颜色分类': '黑色'}"
174,joyoung/九阳, JYL-Y912,"{'产品功能': '榨汁', '适用人数': '5人及以上', '颜色分类': '红色'}"
175,joyoung/九阳, JYL-Y917,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 制奶昔 混合', '适用人数': '5人及以上', '颜色分类': '玫瑰金'}"
176,kaiso/凯索,1500,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 打蛋 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '新款多乐奶昔榨汁机 新款多乐奶昔榨汁机4台批发价 新款多乐奶昔榨汁机8台批发价'}"
177,joyoung/九阳, JYL-Y99,"{'产品功能': '绞肉 碎冰 干磨 搅拌 绞肉', '适用人数': '5人及以上', '颜色分类': 'JYL-Y15单杯破壁机 JYL-Y99双杯破壁机'}"
178,joyoung/九阳, JYS-A800,"{'产品功能': '切菜 绞肉 搅拌 打蛋 混合 绞肉', '适用人数': '1-3人', '颜色分类': '【套餐一】单棒+料理杯 【套餐二】单棒+料理杯+打蛋器 凯云料理棒刀头'}"
179,joyoung/九阳, JYS-A950,"{'产品功能': '捣肉  磨肉  宝宝辅食\xa0切菜\xa0绞肉\xa0碎冰\xa0搅拌\xa0打蛋\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
180,joyoung/九阳, JYZ-Y20,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
181,joyoung/九阳, Y92,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
182,keabo/凯博,KB-1525AWN,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 打蛋 绞肉', '适用人数': '4-5人', '颜色分类': '蓝色'}"
183,kesun/科顺,BL-806A,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '绿色'}"
184,kingpro,J-1205,"{'产品功能': '浓汤\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌', '适用人数': '4-5人', '颜色分类': '红色'}"
185,kitchenaid,5KHB2569C,"{'产品功能': '绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
186,kitchenaid,料理机,"{'产品功能': '绞肉 碎冰 搅拌 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': '白色'}"
187,krobell/康贝尔,2166,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '5人及以上', '颜色分类': '十字刀 一字刀 连接头.软胶 个 转运轮.硬胶 个 绞肉刀.S刀（绞肉杯专用） 大号绞肉刀：切片切丝绞肉杯l用 减速器 密封圈防水胶圈.2个5元 小垫片 5元3个 防水小胶圈5元3个 刀头外圆胶10元3个 十字刀座头.内配件 奶昔杯 果汁杯.高杯 研磨杯.小杯.低杯.短杯 绞肉杯 一字刀+研磨杯 过滤杯 绞肉杯盖 主机座垫胶 5元3个 主机底座防滑垫胶 5元3 一字刀座头.内配件 十字刀+果汁杯 运动杯'}"
188,krobell/康贝尔,2168,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '玫红色'}"
189,krups,KB255,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔', '适用人数': '5人及以上', '颜色分类': '香槟金'}"
190,krups,KB30380,"{'产品功能': '榨汁\xa0绞肉\xa0干磨\xa0搅拌\xa0和面\xa0制奶昔\xa0绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
191,krups,KB870B80,"{'产品功能': '膳食理疗 榨汁 切菜 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '白色'}"
192,ladyship/贵夫人,LS-658,"{'产品功能': '萃取，破壁\xa0榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0混合', '适用人数': '4-5人', '颜色分类': '红色'}"
193,letgoo/力果,LG-SY6B,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合', '适用人数': '5人及以上', '颜色分类': '高配双杯'}"
194,liven/利仁,LL-A,"{'产品功能': '切菜\xa0绞肉\xa0干磨\xa0搅拌\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '白色'}"
195,liven/利仁,LLJ-W501,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '黑色'}"
196,long plus,HB-1250,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '钜华KD-308A'}"
197,lotek/乐泰,HB-103SC,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '升级版5件套 升级版5件套+研磨杯'}"
198,midea/美的, MJ-BL10S11,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 绞肉', '适用人数': '5人及以上', '颜色分类': '咖啡色'}"
199,luby/洛贝,LBL-GH01,"{'产品功能': '糊 汤羹 粥  冰沙  豆浆 辅食\xa0榨汁\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '咖啡色'}"
200,luby/洛贝,LBL-GH03,"{'产品功能': '糊 豆浆 冰沙  果蔬汁 汤羹\xa0榨汁\xa0碎冰\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '玫瑰金'}"
201,maizi kitchen/麦子厨房,BL772,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 和面 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': 'MJ-WBL1008Q MJ-WBL1008Q+不锈钢研磨杯 MJ-BL10S11 MJ-BL10S11+不锈钢研磨杯'}"
202,meichen/美星晨,010 800W 220V～ 50HZ,"{'产品功能': '榨汁 切菜 碎冰 干磨 搅拌 制奶昔 混合', '适用人数': '4-5人', '颜色分类': '小怪兽料理机【现货速发】 小怪兽料理机【顺丰现货速发】 小怪兽原装随身杯（含杯盖） 小怪兽料理机+多送一个杯子 料理机【团购500个起】'}"
203,midea/美的, MJ-Power701,"{'产品功能': '绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': 'Power701【顺丰】【双杯】 Power702【顺丰】【双杯】 Power703【顺丰】【双杯】 注意！请配合破壁机拍下 WBL1021S【顺丰】【单杯】 WBL1022S【顺丰】【单杯】'}"
204,mekka/麦嘉,MJ2050,"{'产品功能': '榨汁 切菜 绞肉 碎冰 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '升级款破壁搅拌机【不细腻包退】'}"
205,midea/美的, MJ-WBL1008Q,"{'产品功能': '豆浆 婴儿糊、果蔬、绵粥、 浓汤、加热、电动 清洗', '适用人数': '4-5人', '颜色分类': 'MJ-WBL1008Q MJ-WBL1008Q+不锈钢研磨杯 MJ-BL10S11 MJ-BL10S11+不锈钢研磨杯'}"
206,mekka/麦嘉,MJ2240,"{'产品功能': '榨汁 绞肉 碎冰 搅拌 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '5人及以上', '颜色分类': '红色'}"
207,midea/美的, BL25B26,"{'产品功能': '榨汁 绞肉 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': 'BL25B36【普通快递】三杯 BL25B26【普通快递】双杯 WBL2531H【普通快递】三杯'}"
208,midea/美的, MJ-BL1206A,"{'产品功能': '婴儿糊、玉米汁、罗宋汤、芝麻糊、冰沙、浓豆浆、杂粮粥\xa0榨汁', '适用人数': '4-5人', '颜色分类': '灰色'}"
209,midea/美的, MJ-BL12K31,"{'产品功能': '婴儿糊、玉米汁、罗宋汤、杂粮粥、绿豆沙、浓汤、瘦肉粥\xa0榨汁\xa0制奶昔', '适用人数': '4-5人', '颜色分类': 'BL12K31 BL12K31加精磨杯'}"
210,midea/美的, MJ-BL25B12,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': 'BL25B12【顺丰速运】 BL25B12【普通快递】'}"
211,midea/美的, MJ-BL25B2,"{'产品功能': '榨汁\xa0绞肉\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '蓝色'}"
212,midea/美的, MJ-BL80Y21,"{'产品功能': '果蔬,五谷,研磨,冰沙,营养破壁,点动清洗 榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': 'BL80Y21+普快 BL80Y21+顺丰'}"
213,midea/美的, MJ-LZ15Easy209,"{'产品功能': '榨汁\xa0切菜\xa0碎冰\xa0搅拌', '适用人数': '4-5人', '颜色分类': '白色'}"
214,midea/美的, MJ-PB80Easy210,"{'产品功能': '榨汁 干磨 搅拌 混合 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': 'MJ-PB80Easy210+普快 MJ-PB80Easy210+顺丰 MJ-PB80Easy210 加不锈钢杯+普快 MJ-PB80Easy210 加不锈钢杯+顺丰'}"
215,midea/美的, MJ-WBL8005P,"{'产品功能': '米糊,粥,豆浆,汤羹,果蔬汁 榨汁 搅拌 混合', '适用人数': '5人及以上', '颜色分类': 'WBL8005P【裸机单杯】+普通快递 WBL8005P【裸机单杯】+顺丰快递 WBL8005P【加购不锈钢杯】+普快 WBL8005P【加购不锈钢杯】+顺丰 BL80Y21【不带加热】+普快 BL80Y21【不带加热】+顺丰'}"
216,midea/美的, MJ-WBL2501A,"{'产品功能': '榨汁\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '灰色'}"
217,midea/美的, MJ-WBL2501B,"{'产品功能': '豆浆,婴儿辅食,DIY面膜,奶昔,料理\xa0榨汁\xa0碎冰\xa0搅拌', '适用人数': '1-3人', '颜色分类': 'WBL2501B WBL25B36'}"
218,midea/美的, MJ-WBL2501C,"{'产品功能': '水果奶昔、豆浆、果汁、辅食、绞肉、磨粉', '适用人数': '1-3人', '颜色分类': '黑色'}"
219,midea/美的, PB80Easy210,"{'产品功能': '榨汁\xa0切菜\xa0搅拌\xa0打蛋\xa0混合\xa0绞肉\xa0切丝 切片', '适用人数': '4-5人', '颜色分类': '黑色'}"
220,midea/美的, MJ-WBL2521H,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '红色'}"
221,midea/美的, WBL1022S,"{'产品功能': '绞肉 碎冰 搅拌 制奶昔 混合', '适用人数': '4-5人', '颜色分类': 'WBL1021S【顺丰】 WBL1022S【顺丰】 WBL1022S【送研磨杯】'}"
222,midea/美的, MJ-WBL2531H,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '蓝色'}"
223,midea/美的, WBL2531H,"{'产品功能': '水果奶昔、豆浆、果汁、辅食、绞肉、磨粉', '适用人数': '2-3人', '颜色分类': 'WBL2531H【普通快递】 WBL2531H【顺丰速运】'}"
224,midea/美的, WBL25B36,"{'产品功能': '果汁、绞肉、辅食、磨粉、奶昔、豆浆、棒冰、冰沙', '适用人数': '2-3人', '颜色分类': '蓝色'}"
225,midea/美的, 美的破壁机,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '红色'}"
226,milate/美莱特,MS-1,"{'产品功能': '搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '开发票MQ300 开发票MQ325'}"
227,minimei,MM-201,"{'产品功能': '榨汁 碎冰 干磨 搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '绿色'}"
228,murenking/牧人王,H19,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0搅拌\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '红色'}"
229,nathome/北欧欧慕,NJB103SA,"{'产品功能': '榨汁 碎冰 搅拌 制奶昔', '适用人数': '1-3人', '颜色分类': '冰湖蓝\xa0天使白'}"
230,panasonic/松下, MK-GB1,"{'产品功能': '搅拌\xa0和面\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '白色'}"
231,panasonic/松下, MK-GH1,"{'产品功能': '搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '保修卡'}"
232,panasonic/松下, MX-GS1,"{'产品功能': '搅拌', '适用人数': '3-4人', '颜色分类': '白色'}"
233,panasonic/松下, MX-S401,"{'产品功能': '绞肉\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '银色'}"
234,panasonic/松下, MX-GX1061,"{'产品功能': '干磨\xa0搅拌', '适用人数': '3-4人', '颜色分类': '白色'}"
235,panasonic/松下, MX-PSC101G1,"{'产品功能': '果泥\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '白色'}"
236,panasonic/松下, MX-SS40,"{'产品功能': '婴儿辅食\xa0榨汁\xa0绞肉\xa0搅拌\xa0打蛋\xa0制奶昔\xa0绞肉\xa0切丝 切片', '适用人数': '5人及以上', '颜色分类': 'MX-SS40+保修卡 MX-SS40+发票'}"
237,panasonic/松下, MX-XC501,"{'产品功能': '切菜\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '香槟金'}"
238,panasonic/松下, MX-XC701,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '咖啡色'}"
239,panasonic/松下, MX-ZX1800,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '黑色'}"
240,panasonic/松下, mx-ss1,"{'产品功能': '榨汁\xa0搅拌\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '3-4人', '颜色分类': '黑色'}"
241,peskoe/半球,HB-J103,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '白色 绿色 橙色'}"
242,peskoe/半球,HB-K805,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔', '适用人数': '4-5人', '颜色分类': '红色'}"
243,peskoe/半球,HB-K808,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '金色'}"
244,philips/飞利浦, HR1604,"{'产品功能': '搅拌\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '白色'}"
245,philips/飞利浦, HR1609,"{'产品功能': '绞肉\xa0搅拌', '适用人数': '1-3人', '颜色分类': '白色'}"
246,philips/飞利浦, HR1626,"{'产品功能': '搅拌\xa0打蛋\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '白色'}"
247,philips/飞利浦, HR1608/03,"{'产品功能': '榨汁 切菜 绞肉 搅拌 打蛋 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': '红色'}"
248,recolte/丽克特,RCP-2,"{'产品功能': '切菜\xa0绞肉\xa0碎冰\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '粉色'}"
249,philips/飞利浦, HR2056,"{'产品功能': '榨汁\xa0碎冰\xa0搅拌\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '白色'}"
250,philips/飞利浦, HR2062,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '粉色'}"
251,smeg,SMF 01,"{'产品功能': '搅拌\xa0和面\xa0打蛋\xa0混合', '适用人数': '5人及以上', '颜色分类': '红色'}"
252,philips/飞利浦, HR2100,"{'产品功能': '榨汁\xa0碎冰\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': 'HR2100黄色+销售票 HR2100黄色+机打发票'}"
253,robot-coupe/罗伯特.库伯,MICROMIX,"{'产品功能': '榨汁 绞肉 搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '专柜YZ01+保修单'}"
254,philips/飞利浦, HR2100/40,"{'产品功能': '榨汁 碎冰 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
255,philips/飞利浦, HR2166,"{'产品功能': '研磨\xa0搅拌', '适用人数': '4-5人', '颜色分类': '白色'}"
256,philips/飞利浦, HR3653,"{'产品功能': '绞肉 碎冰 干磨 搅拌 制奶昔', '适用人数': '1-3人', '颜色分类': 'HR3653+机打票据 HR3653+正规发票'}"
257,rosenstein&sohne,NC2406,"{'产品功能': '榨汁\xa0绞肉\xa0干磨\xa0搅拌', '适用人数': '4-5人', '颜色分类': '黑色'}"
258,philips/飞利浦, hr2101,"{'产品功能': '搅拌', '适用人数': '1-3人', '颜色分类': '紫色'}"
259,philips/飞利浦, hr2872,"{'产品功能': '搅拌', '适用人数': '1-3人', '颜色分类': '红色'}"
260,philips/飞利浦, hr2874,"{'产品功能': '绞肉\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '其他/orther', '颜色分类': '白色'}"
261,ranbem/瑞本,767S,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '1-6人', '颜色分类': '红色'}"
262,ranbem/瑞本,768B,"{'产品功能': '蔬果 苹果 坚果 冰沙 豆浆 煲水 香粥 米糊 西汤 中汤 榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '白色'}"
263,ranbem/瑞本,775,"{'产品功能': '豆浆、辅食、米糊 榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
264,ranbem/瑞本,RBM-728,"{'产品功能': '榨汁 切菜 碎冰 制奶昔 混合', '适用人数': '4-5人', '颜色分类': '红色'}"
265,ranbem/瑞本,RBM-768B,"{'产品功能': '榨汁', '适用人数': '5人及以上', '颜色分类': '蔚蓝\xa0嫣红\xa0橙黄'}"
266,ranbem/瑞本,RBM-775,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '香槟金'}"
267,royalstar/荣事达, RS-JR20E,"{'产品功能': '绞肉\xa0碎冰\xa0搅拌\xa0绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
268,royalstar/荣事达, RZ-1018C1,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '蓝色'}"
269,royalstar/荣事达, RZ-8001,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '4-5人', '颜色分类': '不锈钢四件套（型号8001） 五件套含研磨杯（型号8012）'}"
270,severin,SM3710,"{'产品功能': '榨汁\xa0碎冰', '适用人数': '5人及以上', '颜色分类': 'BL80Y21+普快 BL80Y21+顺丰'}"
271,royalstar/荣事达, RZ-283,"{'产品功能': '点动,冰沙,五谷,研磨,果蔬\xa0榨汁\xa0碎冰\xa0干磨', '适用人数': '2-5人', '颜色分类': '红色'}"
272,royalstar/荣事达, RZ-378H,"{'产品功能': '榨汁\xa0绞肉\xa0干磨\xa0搅拌\xa0打蛋\xa0绞肉', '适用人数': '1-3人', '颜色分类': '绿色'}"
273,royalstar/荣事达, RZ-505,"{'产品功能': '榨汁\xa0绞肉\xa0干磨\xa0搅拌\xa0打蛋\xa0绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
274,royalstar/荣事达, RZ-708H,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '红色'}"
275,royalstar/荣事达, RZ-8012,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
276,savtm/狮威特,BR11A,"{'产品功能': '五谷豆浆 榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '银色'}"
277,severin,SM3739,"{'产品功能': '榨汁\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '黑色'}"
278,shield king/盾皇,DK-777,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '白色'}"
279,skg,1260C,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
